,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
131,Microscopy,11,1,6,4,0,0,0,0,0.0003505082369435682,0.00074673304293715,0.00015624389672278427,0.0,0.0,0.0,0.0
132,Nutrition & Dietetics,1184,2,9,797,0,357,7,12,0.0007010164738871364,0.001120099564405725,0.031131596422014764,0.0,0.03901639344262295,0.006750241080038573,0.005179110919292188
133,Rehabilitation,58,3,0,5,8,32,2,8,0.0010515247108307045,0.0,0.00019530487090348034,0.007619047619047619,0.0034972677595628415,0.0019286403085824494,0.0034527406128614588
134,Transportation,54,1,4,3,1,21,10,14,0.0003505082369435682,0.0004978220286247666,0.0001171829225420882,0.0009523809523809524,0.0022950819672131148,0.009643201542912247,0.006042296072507553
135,Urology & Nephrology,138,1,4,23,2,102,0,6,0.0003505082369435682,0.0004978220286247666,0.0008984024061560095,0.0019047619047619048,0.011147540983606558,0.0,0.002589555459646094
136,Dermatology,38,1,3,22,1,8,0,3,0.0003505082369435682,0.000373366521468575,0.0008593414319753135,0.0009523809523809524,0.0008743169398907104,0.0,0.001294777729823047
137,Gastroenterology & Hepatology,162,0,14,100,0,48,0,0,0.0,0.0017423771001866832,0.0039060974180696066,0.0,0.005245901639344262,0.0,0.0
138,Biophysics,174,0,54,101,4,3,0,12,0.0,0.00672059738643435,0.003945158392250302,0.0038095238095238095,0.0003278688524590164,0.0,0.005179110919292188
139,Pathology,59,0,5,42,1,11,0,0,0.0,0.0006222775357809583,0.0016405609155892347,0.0009523809523809524,0.0012021857923497268,0.0,0.0
140,Anesthesiology,37,0,3,4,0,30,0,0,0.0,0.000373366521468575,0.00015624389672278427,0.0,0.003278688524590164,0.0,0.0
141,Ophthalmology,56,0,4,41,0,5,0,6,0.0,0.0004978220286247666,0.0016014999414085387,0.0,0.000546448087431694,0.0,0.002589555459646094
142,Cardiovascular System & Cardiology,436,0,22,96,10,254,48,6,0.0,0.0027380211574362166,0.0037498535213468225,0.009523809523809525,0.027759562841530055,0.04628736740597879,0.002589555459646094
143,Nuclear Science & Technology,5,0,2,0,0,0,0,3,0.0,0.0002489110143123833,0.0,0.0,0.0,0.0,0.001294777729823047
144,Orthopedics,39,0,2,0,1,32,0,4,0.0,0.0002489110143123833,0.0,0.0009523809523809524,0.0034972677595628415,0.0,0.0017263703064307294
145,Medical Laboratory Technology,22,0,1,15,0,6,0,0,0.0,0.00012445550715619165,0.000585914612710441,0.0,0.0006557377049180328,0.0,0.0
146,Construction & Building Technology,17,0,1,8,0,7,1,0,0.0,0.00012445550715619165,0.00031248779344556854,0.0,0.0007650273224043716,0.0009643201542912247,0.0
147,Integrative & Complementary Medicine,14,0,1,5,0,4,1,3,0.0,0.00012445550715619165,0.00019530487090348034,0.0,0.0004371584699453552,0.0009643201542912247,0.001294777729823047
148,Thermodynamics,26,0,2,17,2,0,0,5,0.0,0.0002489110143123833,0.0006640365610718331,0.0019047619047619048,0.0,0.0,0.0021579628830384117
149,Emergency Medicine,109,0,0,5,3,100,0,1,0.0,0.0,0.00019530487090348034,0.002857142857142857,0.01092896174863388,0.0,0.00043159257660768235
150,"Dentistry, Oral Surgery & Medicine",58,0,0,11,1,45,0,1,0.0,0.0,0.00042967071598765675,0.0009523809523809524,0.004918032786885246,0.0,0.00043159257660768235
